関係機関一覧（令和４年２月１日現在）,,,,,,,,,,,,,,,,,,,,,,,
区市町村名,ＨＰ,名称,郵便番号,住所,最寄駅,"交通経路
（最寄り駅から徒歩何分か等）",電話番号,"対応可能な
相談内容",支援の実施内容,,,,,,,,,対象年齢,,,,,備考
中央区,障害福祉主管課,障害者福祉課,104-8404,中央区築地1-1-1,有楽町線「新富町」、日比谷線「築地」,「新富町」徒歩1分、「築地」徒歩5分,03-3546-6032,障害者福祉相談,○,,,,,,○,,,○,○,○,○,○,
,子供家庭支援センター,子ども家庭支援センター「きらら中央」,104-0054,中央区勝どき1-4-1,都営地下鉄大江戸線「勝どき駅」,徒歩2分,03-3534-2255,"子どもと子育て家庭の総合相談 
",○,,,,,,,,,○,○,○,○,,
,生活介護,中央区立福祉センター,104-0044,中央区明石町12-1,日比谷線「築地」、有楽町線「新富町」,「築地」徒歩7分「新富町」徒歩10分,03-3545-9311,生活支援,,,,,,○,,,,,,,,○,
,就労継続支援事業所（B型）,中央区立福祉センター,104-0044,中央区明石町12-1,日比谷線「築地」、有楽町線「新富町」,「築地」徒歩7分「新富町」徒歩10分,03-3545-9311,就労支援,,,,,○,○,,,,,,,,○,
,地域活動支援センター,中央区立福祉センター,104-0044,中央区明石町12-1,日比谷線「築地」、有楽町線「新富町」,「築地」徒歩7分「新富町」徒歩10分,03-3545-9311,生活支援,,,,,,○,,,,,,,,○,
,基幹相談支援センター,"中央区立福祉センター
基幹相談支援センター",104-0044,中央区明石町12-1,日比谷線「築地」、有楽町線「新富町」,「築地」徒歩7分「新富町」徒歩10分,03-6264-3957,障害に関する相談、関係機関紹介等,○,,,,,,,,,○,○,○,○,○,
,児童発達支援,中央区立子ども発達支援センターゆりのき,104-0044,中央区明石町12-1,日比谷線「築地」、有楽町線「新富町」,「築地」徒歩7分「新富町」徒歩10分,03-3545-9844,発達相談,,,○,,,○,,,,○,,,,,
,放課後等デイサービス,中央区立子ども発達支援センターゆりのき,104-0044,中央区明石町12-1,日比谷線「築地」、有楽町線「新富町」,「築地」徒歩7分「新富町」徒歩10分,03-6278-8642,発達相談,,,○,,,○,,,,,○,○,○,,
,保育所等訪問支援,中央区立子ども発達支援センターゆりのき,104-0044,中央区明石町12-1,日比谷線「築地」、有楽町線「新富町」,「築地」徒歩7分「新富町」徒歩10分,03-6260-6464,発達相談,,,○,,,,,,,○,○,○,○,,
,保健所・保健センター,中央区保健所,104-0044,中央区明石町12-1,日比谷線「築地」、有楽町線「新富町」,「築地」徒歩7分「新富町」徒歩10分,03-3541-5963,"こどもの発達相談（就学前）
こころの健康相談",○,,,,,,,,,○,○,○,○,○,
,,日本橋保健センター,103-0012,中央区日本橋堀留町1-1-1,浅草線・日比谷線「人形町」,徒歩5分,03-3661-3515,"こどもの発達相談（就学前）
こころの健康相談",○,,,,,,,,,○,○,○,○,○,
,,月島保健センター,104-0052,中央区月島2-10-3,大江戸線・有楽町線「月島」,徒歩1分,03-5560-0765,"こどもの発達相談（就学前）
こころの健康相談",○,,,,,,,,,○,○,○,○,○,
,就労支援センター,中央区障害者就労支援センター,103-0004,中央区東日本橋2-27-12 両国郵便局合同建物5階,JR線・浅草線「浅草橋」,徒歩3分,03-3865-3889 ,就労支援,,,,,○,,,,,,,,,○,
港区,障害福祉主管課,障害者福祉課,105-8511,港区芝公園1-5-25,"JR浜松町駅
都営浅草線大門
都営三田線御成門駅",最寄り駅から徒歩5分から10分,03-3578-2111(代表)内線2825,障害者福祉サービス一般,○,,,,,,○,○,,○,○,○,○,○,
,,発達障害者支援室,105-0014,港区芝1-8-23,JR浜松町駅、浅草線・大江戸線大門駅、三田線芝公園駅,最寄り駅から徒歩10分,03-5439-8077,大人（18歳以上）の発達障害についての相談,○,,,,,○,○,○,,,,,,○,
,"福祉事務所
（各地区総合支所内に設置）",芝地区総合支所,105-8511,港区芝公園1-5-25,"JR浜松町
都営浅草線大門駅
都営三田線御成門駅",最寄り駅から徒歩5分から10分程度,03-3578-3161,"育児相談
精神保健福祉相談
総合支援法サービス申請
身体障害者手帳申請
児童福祉法サービス申請
医療費助成申請",○,,,,,,,,,○,○,○,○,○,
,,麻布地区総合支所,106-8515,港区六本木5-16-45,"日比谷線六本木駅
大江戸線、南北線麻布十番駅",最寄り駅から徒歩7分から10分,03-5114-8822,"育児相談
精神保健福祉相談
総合支援法サービス申請
身体障害者手帳申請
児童福祉法サービス申請
医療費助成申請",○,,,,,,,,,○,○,○,○,○,
,,赤坂地区総合支所,107-8516,港区赤坂4-18-13,"銀座線、丸の内線赤坂見附駅
有楽町線、半蔵門線永田町駅
銀座線、半蔵門線、大江戸線青山一丁目駅",最寄り駅から徒歩7分から10分,03-5413-7276,"育児相談
精神保健福祉相談
総合支援法サービス申請
身体障害者手帳申請
児童福祉法サービス申請
医療費助成申請",○,,,,,,,,,○,○,○,○,○,
,,高輪地区総合支所,108-8581,港区高輪1-16-25,南北線、三田線白金高輪駅,最寄り駅より徒歩1分,03-5421-7085,"育児相談
精神保健福祉相談
総合支援法サービス申請
身体障害者手帳申請
児童福祉法サービス申請
医療費助成申請",○,,,,,,,,,○,○,○,○,○,
,,芝浦港南地区総合支所,105-8516,港区芝浦1-16-1,"JR田町駅
浅草線、三田線三田駅",最寄り駅より徒歩5分から7分,03-6400-0022,"育児相談
精神保健福祉相談
総合支援法サービス申請
身体障害者手帳申請
児童福祉法サービス申請
医療費助成申請",○,,,,,,,,,○,○,○,○,○,
,保健所・保健センター,みなと保健所,108-8315,港区三田1-4-10,"大江戸線赤羽橋駅
三田線芝公園駅
南北線麻布十番駅",最寄り駅より徒歩5分から10分,03-6400-0084,"育児相談
精神保健福祉相談
育成医療申請
小児慢性疾患医療費助成
精神障害者社会復帰援助事業
関係機関紹介",○,○,○,,,,○,○,,○,○,○,○,○,
,子供家庭支援センター,子ども家庭支援センター,107-0062,港区南青山5-7-11,銀座線・半蔵門線・千代田線表参道駅,最寄り駅より徒歩3分,"
03-5962-7215
","
子どもと家庭の総合相談
",○,,,,,,,,,○,○,○,○,,
,児童相談所,港区児童相談所,107-0062,港区南青山5-7-11,銀座線・半蔵門線・千代田線表参道駅,最寄り駅より徒歩3分,"
03-5962-6500

児童虐待相談ダイヤル（24時間対応）　0120-483-710（フリーダイヤル）",子どもと子どもを養育する人等の専門相談,○,,,,,,,,,○,○,○,○,,
,区立療育機関（法外・法内）,児童発達支援センター,106-0047,港区南麻布4-6-13,日比谷線、広尾駅,最寄り駅から徒歩10分,03-6277-3106,"障害児の療育相談（18歳未満）
計画相談支援
児童発達支援、放課後等デイサービス、保育所等訪問支援、居宅訪問型児童発達支援
",○,○,○,,,○,,○,,○,○,○,○,,
,"教育関係
※教育相談所含む",教育センター,105-0001,港区虎ノ門3-6-9,日比谷線、虎ノ門ヒルズ駅,最寄り駅より徒歩2分,03-5422-1541,教育全般の相談,○,,○,,,,,,,○,○,○,○,,
,地域の相談拠点,障害保健福祉センター,105-0014,港区芝1-8-23,JR浜松町駅、浅草線・大江戸線大門駅、三田線芝公園駅,最寄り駅から徒歩10分,03-5439-8053,"障害児・者全般の相談
",○,,,,,,,,,○,○,○,○,○,
,,新橋はつらつ太陽,105-0004,港区新橋6-19-2,"JR浜松町、新橋駅
銀座線、浅草線新橋駅
浅草線大門駅",最寄り駅より徒歩3分から12分,03-3433-0181,知的障害者の入所・生活介護,○,,,,,,,,,○,○,○,○,○,
,,あいはーと・みなと,108-0074,高輪1-4-8,南北線・三田線白金高輪駅,最寄り駅より徒歩2分,03-5449-6455,主に精神障害者の支援,○,,,,,,,,,○,○,○,○,○,
,,障害者支援ホーム南麻布,106-0047,港区南麻布4-6-13,日比谷線、広尾駅,最寄り駅から徒歩10分,03-6455-7827,主に身体障害者の入所施設,○,,,,,,,,,○,○,○,○,○,
,地域活動支援センター,あいはーと・みなと,108-0074,高輪1-4-8,南北線・三田線白金高輪駅,最寄り駅より徒歩2分,03-5449-6455,発達障害者の方も受け入れ可能,,,,,,○,○,○,,,,,,○,
新宿区,障害福祉主管課,障害者福祉課,160-8484,新宿区歌舞伎町1-4-1,新宿,徒歩10分,03-5273-4583,,○,,,,,,○,○,,○,○,○,○,○,
,保健所・保健センター,牛込保健センター,162-0851,新宿区弁天町50,早稲田/神楽坂/牛込柳町,徒歩10分,03-3260-6231,発達相談・育児相談,○,○,,,,,,○,,○,,,,○,令和3年6月に仮庁舎（新宿区矢来町６、旧市ヶ谷商業高校）へ移転
,,四谷保健センター,160-0008,新宿区四谷三栄町10-16,四谷三丁目,徒歩5分,03-3351-5161,発達相談・育児相談,○,○,,,,,,○,,○,,,,○,
,,東新宿保健センター,160-0022,新宿区新宿7-26-4,東新宿,徒歩3分,03-3200-1026,発達相談・育児相談,○,○,,,,,,○,,○,,,,○,
,,落合保健センター,161-0033,新宿区下落合4-6-7,下落合,徒歩5分,03-3952-7161,発達相談・育児相談,○,○,,,,,,○,,○,,,,○,
,児童発達支援（センター以外）,新宿区立子ども総合センター,160-0022,新宿区新宿7-3-29,"東新宿/
新宿ここ・から広場前停留所","徒歩7分
徒歩1分",03-3232-0679,発達相談・発達支援,○,○,○,,,,,,,○,,,,,
,放課後等デイサービス,新宿区立子ども総合センター,160-0022,新宿区新宿7-3-29,"東新宿/
新宿ここ・から広場前停留所","徒歩7分
徒歩1分",03-3232-0679,発達相談・発達支援,○,○,○,,,,,,,,○,,,,対象：1．2年生
,保育所等訪問支援,新宿区立子ども総合センター,160-0022,新宿区新宿7-3-29,"東新宿/
新宿ここ・から広場前停留所","徒歩7分
徒歩1分",03-3232-0679,発達支援,,,○,,,,,,,○,,,,,
,"教育関係
※教育相談所含む",教育支援課,169-0072,新宿区大久保3-1-2,"副都心線
西早稲田",徒歩3分,03-3232-3074,就学相談,○,,,,,,,,,○,○,○,,,
,,教育センター（教育相談室）,169-0072,新宿区大久保3-1-2,"副都心線
西早稲田",,03-3232-3071,教育相談,○,,,,,,,,,○,○,○,○,,
,相談支援事業所,新宿区立子ども総合センター,160-0022,新宿区新宿7-3-29,"東新宿/
新宿ここ・から広場前停留所","徒歩7分
徒歩1分",03-3232-0679,発達相談、計画相談,○,○,,,,,,,,○,○,○,○,,
,,新宿区基幹相談支援センター,160-8484,新宿区歌舞伎町1-4-1,新宿,10分,03-5273-4583,計画相談,○,,,,,,,,,○,○,○,○,○,
,,新宿区立障害者生活支援センター,169-0073,新宿区百人町4-4-2,高田馬場,９分,03-5937-6821,計画相談,○,,,,,,,,,,,,,○,
,就労移行支援事業所,わーくす　ここ・から（エール）,160-0022,新宿区新宿7-3-29,東新宿,7分,03-3208-1609,,,,,,○,,,,,,,,,○,
,就労継続支援事業所（B型）,わーくす　ここ・から（スマイル）,160-0022,新宿区新宿7-3-29,東新宿,7分,03-3208-2278,,,,,,○,,,,,,,,,○,
文京区,障害福祉課,障害福祉課,112-8555,文京区春日1-16-21,後楽園,徒歩0分,03-5803-1211,身体及び知的障害に関する相談,○,,,,,,,,,○,○,○,○,○,
,予防対策課,予防対策課,112-8555,文京区春日1-16-21,後楽園,徒歩0分,03-5803-1230,精神障害者保健福祉手帳及び障害福祉サービス等に関する相談,○,,,,,,,,,○,○,○,○,○,
,福祉事務所,生活福祉課,112-8555,文京区春日1-16-21,後楽園,徒歩0分,03-5803-1216,母子父子・女性相談,○,,,,,,,,,○,○,○,○,○,相談係→母子父子・女性支援担当
,保健所・保健センター,保健サービスセンター,112-8555,文京区春日1-16-21,後楽園,徒歩0分,03-5803-1807,発達相談、育児相談、精神保健相談、関係機関紹介等,○,○,,,,,,,,○,,,,○,
,,保健サービスセンター本郷支所,113-0022,文京区千駄木5-20-18,千駄木,徒歩8分,03-3821-5106,発達相談、育児相談、精神保健相談、関係機関紹介等,○,○,,,,,,,,○,,,,○,
,子供家庭支援センター,子ども家庭支援センター,112-8555,文京区春日1-16-21,後楽園,徒歩0分,03-5803-1109,子どもと家庭、子育てに関する相談、児童虐待相談,○,,,,,,,,○,○,○,○,○,,
,発達相談・教育相談,教育センター総合相談室,113-0034,文京区湯島4-7-10,"湯島
本郷三丁目","徒歩8分
徒歩10分",03-5800-2594,発達相談、教育相談、相談支援,○,○,○,○,,,○,,,○,○,○,○,,
,基幹相談支援センター,障害者基幹相談支援センター,112-0006,文京区小日向2-16-15文京総合福祉ｾﾝﾀｰ1階,江戸川橋,徒歩4分,03-5940-2903,障害に関する相談、関係機関紹介等,○,,,,,,,,,○,○,○,○,○,
,就労支援センター,障害者就労支援センター,113-0033,"文京区本郷4-15-14
文京区民ｾﾝﾀｰ1階",春日,徒歩0分,03-5805-1600,障害者就労支援,○,,,,○,,,,,,,,,○,
台東区,保健所・保健センター,台東保健所保健予防課,110-0015,台東区東上野4-22-8,ＪＲ・地下鉄銀座線・日比谷線上野駅、地下鉄銀座線稲荷町駅,徒歩10分,03-3847-9405,発達相談、精神保健相談、関係機関紹介等,○,,,,,○,○,○,,,,,,○,
,,台東保健所保健サービス課,110-0015,台東区東上野4-22-8,,,03-3847-9497,発達相談、育児相談、精神保健相談、関係機関紹介等,○,○,,,,,,,,○,,,,○,
,,浅草保健相談センター,111-0033,台東区花川戸2-11-10,地下鉄銀座線・都営浅草線・東武伊勢崎線浅草駅,徒歩5分,03-3844-8172 ,発達相談、育児相談、精神保健相談、関係機関紹介等,○,○,,,,,,,,○,,,,○,
,子供家庭支援センター,日本堤子ども家庭支援センター,111-0021,台東区日本堤2-25-8 たなか多目的ｾﾝﾀｰ1階,地下鉄日比谷線三ノ輪駅、地下鉄日比谷線・ＴＸ南千住駅,徒歩10分,03-5824-2571,子育て総合相談,○,○,,,,,,,,○,○,○,○,,
,児童発達支援（センター以外）,松が谷福祉会館,111-0036,台東区松が谷1-4-12,地下鉄銀座線稲荷町駅,徒歩４分,03-3842-2673,発達及び療育相談,○,○,○,○,,,○,○,,○,,,,,
,放課後等デイサービス,松が谷福祉会館,111-0036,台東区松が谷1-4-12,,,03-3842-2673,発達及び療育相談,○,,○,○,,,○,○,,,○,,,,
,"教育関係
※教育相談所含む",台東区教育委員会　学務課,110-8615,台東区東上野4-5-6,ＪＲ、地下鉄銀座線・日比谷線上野駅、地下鉄銀座線稲荷町駅,"・ＪＲ上野駅徒歩8分
・地下鉄銀座線・日比谷線上野駅、地下鉄銀座線稲荷町駅徒歩5分",03-5246-1416,就学・就園相談,○,,,,,,,,,○,○,○,,,
,,教育支援館（教育相談）,111-8621,"台東区西浅草3-25-16
台東区生涯学習ｾﾝﾀｰ6階","ＴＸ浅草駅、
地下鉄日比谷線入谷駅","・ＴＸ浅草駅徒歩8分
・地下鉄日比谷線入谷駅徒歩8分",03-5246-5855,教育相談、精神科医による相談、関係機関紹介　等,○,○,,○,,,○,,,○,○,○,○,,
,相談支援事業所,松が谷福祉会館,111-0036,台東区松が谷1-4-12,地下鉄銀座線稲荷町駅,徒歩4分,03-5246-9651,障害児・者の相談、計画相談,○,,,,,,,○,,○,○,○,○,,
,就労支援センター,台東区障害者就労支援室,111-0036,"台東区松が谷1-4-12
松が谷福祉会館6階",地下鉄銀座線稲荷町駅,徒歩4分,03-3847-6431,就労支援相談,,,,,○,,,,,,,,○,○,
墨田区,保健所・保健センター,向島保健センター,131-0032,墨田区東向島5-16-2,東向島,徒歩3分,03-3611-6135,"育児相談、
精神保健相談",○,,,,,,〇,,,○,○,○,○,,
,,本所保健センター,130-0005,墨田区東駒形1-6-4,浅草駅,徒歩10分,03-3622-9137,"育児相談、
精神保健相談",○,,,,,,○,,,○,○,○,○,,
,児童福祉主管課,子ども施設課,130-8640,墨田区吾妻橋1-23-20,本所吾妻橋,徒歩5分,03-5608-6161,"育児相談
",,,○,○,,,,,,○,,,,,
,子供家庭支援センター,墨田区子育て支援総合センター,131-0046,墨田区京島1-35-9-103,京成曳舟,徒歩3分,03-5630-6351,子育て相談,○,,,,,,,,,○,○,○,○,,
,児童発達支援センター,すみだ福祉保健センター「みつばち園」,131-0033,墨田区向島3-36-7,押上駅、とうきょうスカイツリー駅,徒歩10分,03-5608-3715,療育相談,,,○,,,,,,,○,,,,,
,児童発達支援（センター以外）,すみだステップハウスおおぞら「にじの子」,131-0044,墨田区文花1-32-7,小村井駅,徒歩10分,03-6657-2619,療育相談,,,○,,,,,,,○,,,,,
,放課後等デイサービス,すみだ福祉保健センター「みつばち園」,131-0033,墨田区向島3-36-7,押上駅、とうきょうスカイツリー駅,徒歩10分,03-5608-3715,療育相談,,,○,,,,,,,,○,,,,
,保育所等訪問支援,すみだ福祉保健センター「みつばち園」,131-0033,墨田区向島3-36-7,押上駅、とうきょうスカイツリー駅,徒歩10分,03-5608-3715,療育相談,,,○,,,,,,,○,,,,,
,相談支援事業所,墨田区精神障害者地域生活支援センター友の家,130-0012,墨田区太平1-11-7 ｸﾞﾗﾝﾄﾞｽﾃｰﾀｽKIYA 4F,JR・東京メトロ錦糸町駅,徒歩10分,03-3626-6165,計画相談支援、関係機関紹介,○,,,,,,,,○,,,,,○,
,,医療法人社団草思会錦糸町相談支援センター,130-0013,墨田区錦糸3-5-1 4階,錦糸町,鉄道（JR、東京メトロ）、都ﾊﾞｽ,03-5637-7266,精神保健福祉相談、関係機関紹介,○,,,,,,,,,,,,,○,
,就労移行支援事業所,すみだ障害者就労支援総合センター就労移行支援施設,130-0021,墨田区緑4-25-4,錦糸町駅,錦糸町駅より徒歩8分,03-5600-2004,障害者の企業等就労に関すること,,,,,○,,,,,,,,,○,
,,"医療法人社団草思会
錦糸町就労支援センター",130-0013,墨田区錦糸3-11-3,錦糸町駅,徒歩3分,03-5809-7301,就労支援,,,,,○,,,,,,,,,○,
,,"ユニークジョブ
サポート",130-0013,"墨田区錦糸3-8-2 IK第5ﾋﾞﾙ2,3,4F",錦糸町駅,錦糸町徒歩3分,03-5608-8904,就労支援,○,,,,○,○,,,,,,,,○,
,,就労移行支援事業所シャイニー,130-0026,墨田区両国4-30-8 YAﾋﾞﾙ5階 B号室,両国駅,両国駅徒歩5分,03-6659-6201,就労支援,,,,,○,,,,,,,,,○,
,,就労移行支援事業所シャイニー錦糸町,130-0022,墨田区江東橋4-24-5 協新ﾋﾞﾙﾁﾞﾝｸﾞ102,錦糸町駅,錦糸町駅徒歩5分,03−6284−0421,就労支援,,,,,○,,,,,,,,,○,
,,ウィズヴィレッジ,131-0034,墨田区堤通1-19-9 ﾘﾊﾞｰｻｲﾄﾞ隅田ｾﾝﾄﾗﾙﾀﾜｰ2F,押上駅,無料シャトルバスで5分～10分,03-5655-3767,就労支援,,,,,○,,,,,,,,,○,
,,ウェルビー錦糸町,130-0022,墨田区江東橋4-22-4ｶﾞｰﾍﾞﾗ錦糸町ﾋﾞﾙ2階,錦糸町駅,錦糸町徒歩5分,03-5625-5751,就労支援,,,○,,○,,,,,,,,,○,
,,ＬＩＴＡＬＩＣＯワークス錦糸町,130-0013 ,墨田区錦糸1-1-5 Aﾋﾞﾙ4階,錦糸町駅,錦糸町徒歩６分,03-5819-0182,就労支援,,,○,,○,,,,○,,,,,○,
,就労継続支援事業所（B型）,隅田作業所,131-0041,墨田区八広3-1-5 ﾗｲﾌｽﾍﾟｰｽ90-101,京成曳舟駅,徒歩8分,03-3616-3465,精神保健相談、生活支援、就労支援、関係機関紹介等,○,,,,○,○,○,○,○,,,,,○,
,,すみだ花工房,131-0031,墨田区墨田2-16-5,鐘ヶ淵駅,鐘ヶ淵駅より徒歩7分,03-3619-3187,精神保健相談、生活支援、就労支援、関係機関紹介等,○,,,,○,○,○,○,○,,,,,○,
,,Ｌｏｏｐ．Ａ．Ｓ（ルーパス）,131-0034,墨田区堤通1-19-9リバーサイド隅田セントラルタワー9階,東向島駅,徒歩9分,03-3616-6479,就労支援,○,,,,○,○,○,○,○,,,,,○,
,,ユニークジョブサポート・ビー,130-0013,"墨田区錦糸3-8-2 IK第5ﾋﾞﾙ2,3,4F",錦糸町駅,錦糸町徒歩3分,03-5608-8904,就労支援,○,,,,○,○,,,,,,,,○,
,,こらーる・カフェ,131-0033,"墨田区向島3-2-1
向島ﾊﾟｰｸﾊｲﾂ1階",東武スカイツリー駅,徒歩5分,03-5819-3651,生活相談、権利擁護、就職・医療機関についての相談,○,,,,○,○,,,○,,,,,○,
,,"錦糸町就労支援センター
ひだまり工房",130-0013,墨田区錦糸3-11-3,錦糸町駅,徒歩3分,03-5809-7301,就労支援,,,,,○,,,,,,,,,○,
,,"錦糸町就労支援センター
両国分室　Ｆｉｏ",130-0026,"墨田区両国4-37-2 
TKF会館3F",両国駅,徒歩4分,03-5669-0061,就労支援,,,,,○,,,,,,,,,○,
,,はあとぴーす,131-0044,墨田区文花2-2-9,東武亀戸線「小村井駅」,徒歩5分,03-6657-4438,精神保健相談、発達相談、関係機関紹介、就労支援、生活支援、,○,,,,○,○,,,,,,,,○,
,就労支援センター,すみだ障害者就労支援総合センター,130-0021,墨田区緑4-25-4,錦糸町駅,錦糸町駅より徒歩8分,"03-5600-2004
",障害者の企業等就労に関すること,,,,,○,,○,,,,,,,○,
,地域活動支援センター,墨田区精神障害者地域生活支援センター　友の家,130-0012,墨田区太平1-11-7 ｸﾞﾗﾝﾄﾞｽﾃｰﾀｽKIYA 4F,JR・東京メトロ錦糸町駅,徒歩10分,03-3626-6165,憩いの場、生活全般の相談、関係機関紹介,○,,,,,,,,○,,,,,○,
,保健所・保健センター,城東保健相談所,136-0072,江東区大島3-1-3,西大島,徒歩3分,03-3637-6521,全般、専門相談（発達相談/精神保健相談等）、関係機関紹介等,○,○,○,,,,,,,○,○,○,○,○,
,,深川保健相談所,135-0021,江東区白河3-4-3-301,清澄白河・菊川,徒歩5分,03-3641-1181,,○,○,○,,,,,,,○,○,○,○,○,
,,深川南部保健相談所,135-0051,江東区枝川1-8-15-102,豊洲,徒歩9分,03-5632-2291,,○,○,○,,,,,,,○,○,○,○,○,
,,城東南部保健相談所,136-0076,江東区南砂4-3-10,南砂町,徒歩12分,03-5606-5001,,○,○,○,,,,,,,○,○,○,○,○,
,子供家庭支援センター,深川北子ども家庭支援センター,135-0005,江東区高橋14-6,森下,徒歩約5分,03-5600-8701,子育て相談全般、専門相談(発達相談/家族相談等）、関係機関紹介等,○,,○,,,,,,,○,○,○,○,,
,,豊洲子ども家庭支援センター,135-0061,"江東区豊洲5-5-1
豊洲シエルタワー201",豊洲,徒歩約3分,03-3536-7681,子育て相談全般、専門相談(発達相談/家族相談等）、関係機関紹介等,○,,○,,,,,,,○,○,○,○,,
,,有明子ども家庭支援センター,135-0063,"江東区有明2-1-8
有明ガーデン101",有明,徒歩約5分,03-5962-4113,子育て相談全般、専門相談(発達相談/家族相談等）、関係機関紹介等,○,,○,,,,,,,○,○,○,○,,
,,東陽子ども家庭支援センター,135-0016,"江東区東陽3-1-2
（東陽区民館３階）",木場,徒歩約5分,03-3699-4871,子育て相談全般、専門相談(発達相談/家族相談等）、関係機関紹介等,○,,○,,,,,○,,○,○,○,○,,
,,大島子ども家庭支援センター,136-0072,江東区大島4-1-37,西大島,徒歩約5分,03-5836-1621,子育て相談全般、専門相談(発達相談/家族相談等）、関係機関紹介等,○,,○,,,,,,,○,○,○,○,,
,,南砂子ども家庭支援センター,136-0076,江東区南砂3-14-1-101,南砂町,徒歩約3分,03-5617-8106,子育て相談全般、専門相談(発達相談/家族相談等）、関係機関紹介等,○,,○,,,,,,,○,○,○,○,,
,児童発達支援センター,江東区こども発達センター,135-0043,江東区塩浜2-5-20,木場,徒歩約13分,03-5632-2591,発達相談,○,,○,,,,,,,○,,,,,
,,江東区こども発達扇橋センター,135-0011,江東区扇橋3-7-2,住吉,徒歩約12分,03-3648-3760,発達相談,○,,○,,,,,,,○,,,,,
,相談支援事業所,江東区地域生活支援センター　ステップ,135-0016,江東区東陽3-16-12 田中ﾋﾞﾙ2階,東陽町,徒歩3分,03-5633-7714,計画相談・地域相談（地域移行・地域定着）,○,,,,,○,,,,,,,,○,
,,地域活動支援センター　ウィル・オアシス,135-0002,江東区住吉1-17-20 住吉ﾋﾞﾙ4階,住吉,徒歩5分,03-6284-0545,計画相談、地域移行、地域定着,○,,,,○,○,,,,,,,,○,
,,スマートキッズ相談支援センター,135-0047,江東区永代2-1-5セゾン永代1階,門前仲町,徒歩5分,03-5875-9918,障害児相談支援、特定相談支援,○,,,,,,,,,○,○,○,○,○,
,,江東ヘルパーステーション,136-0076,江東区南砂2-37-10-408,南砂町,徒歩7分,03-6666-1161,障害児相談支援、特定相談支援,○,,,,,,,,,,○,○,○,○,
,,江東区こども発達センター,135-0043,江東区塩浜2-5-20,木場,徒歩約13分,03-5632-2591,障害児相談支援、特定相談支援,○,,○,,,,○,○,,○,○,○,○,,
,,江東区こども発達扇橋センター,135-0011,江東区扇橋3-7-2,住吉,徒歩約12分,03-3648-3760,障害児相談支援、特定相談支援,○,,○,,,,○,○,,○,○,○,○,,
,,乳幼児親子教室,135-0003,江東区猿江1-18-9-204,住吉,徒歩約8分,03-6659-5302,子育て相談全般、専門相談(発達相談/家族相談等）、関係機関紹介等　　　　計画相談,○,,,,,,,,,○,○,○,○,,
,,こぴあクラブ,135-0041,江東区冬木6-20,門前仲町,徒歩6分,03-3630-1363,障害児相談支援、特定相談支援,○,,,,,,,,,,○,○,○,○,
,,城東訪問介護,136-0072,江東区大島1-7-11,西大島,徒歩5分,03-5628-3377,計画相談、児童相談,○,,,,,,,,,○,○,○,○,○,
